faq_id,question,answer,category
FAQ035,What should I do if I miss my appointment?,Contact the hospital as soon as possible to discuss rescheduling and any applicable appointment procedures.,Appointments
FAQ036,Can I get appointment reminders?,Appointment reminders may be available through the hospital's communication system. Confirm your contact details during registration.,Appointments
FAQ037,What should I do if I have a question about my treatment?,Ask your treating clinician or authorized care team. This assistant should not replace professional medical advice.,Clinical Information
FAQ038,Can this assistant diagnose my condition?,No. This assistant provides general information and hospital-related guidance and is not a substitute for diagnosis by a qualified healthcare professional.,Safety
FAQ039,Can this assistant prescribe medicine?,No. Medication decisions and prescriptions should be made by an appropriately qualified healthcare professional.,Safety
FAQ040,What should I do if my symptoms become severe?,Seek urgent medical attention or contact emergency services rather than relying on this assistant for an emergency decision.,Emergency
FAQ041,How do I give feedback about hospital service?,"Contact the hospital's patient relations, feedback, or reception desk using the available feedback procedure.",Feedback
FAQ042,How do I make a complaint?,Submit a complaint through the hospital's patient relations or grievance process and provide relevant details.,Feedback
FAQ043,Where can I find patient discharge information?,Contact the treating department or discharge desk for instructions specific to the patient's discharge.,Discharge
FAQ044,What happens during discharge?,"The care team generally provides discharge instructions, medication information, follow-up guidance, and required documents as applicable.",Discharge
FAQ045,Can I get a copy of discharge instructions?,Ask the treating department or discharge desk for a copy of the applicable discharge instructions.,Discharge
FAQ046,Are hospital facilities accessible to people with disabilities?,Accessibility services may be available. Contact reception in advance to request assistance appropriate to your needs.,Accessibility
FAQ047,Where can I ask about laboratory tests?,"Contact the laboratory or reception for test scheduling, preparation requirements, and report collection information.",Laboratory
FAQ048,How can I obtain a laboratory report?,Follow the hospital's laboratory report collection or digital-report process and contact the laboratory desk if assistance is needed.,Laboratory
FAQ049,Where can I ask about imaging tests?,"Contact the imaging or radiology department for scheduling, preparation requirements, and report information.",Radiology
FAQ050,How can I contact hospital reception?,Use the hospital's official reception contact channel or visit the main reception desk for general assistance.,General
